time,ecg
1520.0,-120949.85714285713
1522.0,-120977.57142857142
1524.0,-120968.0
1526.0,-120969.42857142857
1528.0,-121015.14285714286
1530.0,-121075.85714285713
1532.0,-121096.14285714286
1534.0,-121070.28571428571
1536.0,-121049.42857142857
1538.0,-121073.28571428571
1540.0,-121123.71428571428
1542.0,-121156.85714285713
1544.0,-121158.42857142857
1546.0,-121156.42857142855
1548.0,-121184.42857142855
1550.0,-121239.71428571428
1552.0,-121281.28571428568
1554.0,-121274.57142857142
1556.0,-121234.57142857142
1558.0,-121210.85714285713
1560.0,-121225.71428571428
1561.98,-121245.14285714284
1563.95,-121230.57142857142
1565.93,-121199.85714285713
1567.9,-121202.42857142855
1569.9,-121244.57142857142
1571.9,-121282.5714285714
1573.9,-121286.42857142855
1575.9,-121274.42857142855
1577.9,-121279.2857142857
1579.9,-121307.99999999999
1581.9,-121340.85714285712
1583.9,-121354.71428571426
1585.9,-121345.14285714284
1587.9,-121332.57142857142
1589.9,-121339.99999999999
1591.9,-121362.5714285714
1593.9,-121368.85714285714
1595.9,-121340.71428571429
1597.9,-121299.71428571428
1599.9,-121281.14285714286
1601.9,-121290.85714285713
1603.9,-121301.0
1605.9,-121285.42857142857
1607.9,-121250.57142857142
1609.9,-121225.85714285713
1611.9,-121229.42857142857
1613.9,-121248.14285714286
1615.9,-121251.14285714286
1617.9,-121225.71428571428
1619.9,-121197.28571428571
1621.9,-121203.57142857142
1623.9,-121244.42857142857
1625.9,-121276.14285714284
1627.9,-121269.85714285713
1629.9,-121254.71428571428
1631.9,-121274.28571428571
1633.9,-121321.57142857142
1635.9,-121347.57142857142
1637.9,-121326.57142857142
1639.9,-121289.57142857142
1641.88,-121286.99999999999
1643.85,-121322.14285714284
1645.83,-121346.2857142857
1647.8,-121333.42857142855
1649.8,-121318.5714285714
1651.8,-121330.71428571426
1653.8,-121347.71428571426
1655.8,-121351.42857142855
1657.8,-121360.85714285713
1659.8,-121380.42857142857
1661.8,-121386.57142857142
1663.8,-121381.57142857142
1665.8,-121398.57142857142
1667.8,-121438.99999999999
1669.8,-121460.0
1671.8,-121437.28571428571
1673.8,-121402.71428571429
1675.8,-121394.57142857142
1677.8,-121406.28571428571
1679.8,-121414.71428571428
1681.8,-121420.85714285714
1683.8,-121431.57142857142
1685.8,-121443.85714285713
1687.8,-121464.85714285714
1689.8,-121499.14285714286
1691.8,-121519.14285714287
1693.8,-121502.42857142858
1695.8,-121479.71428571429
1697.8,-121492.28571428571
1699.8,-121528.57142857142
1701.8,-121547.42857142858
1703.8,-121540.28571428571
1705.8,-121533.28571428571
1707.8,-121543.42857142857
1709.8,-121556.71428571429
1711.8,-121548.28571428571
1713.8,-121511.57142857143
1715.8,-121465.85714285714
1717.8,-121439.71428571428
1719.8,-121443.99999999999
1721.78,-121459.99999999999
1723.75,-121461.85714285713
1725.73,-121448.99999999999
1727.7,-121443.42857142855
1729.7,-121459.71428571428
1731.7,-121485.14285714284
1733.7,-121488.99999999999
1735.7,-121454.42857142855
1737.7,-121406.85714285714
1739.7,-121388.14285714284
1741.7,-121398.57142857142
1743.7,-121394.28571428571
1745.7,-121350.42857142857
1747.7,-121295.57142857142
1749.7,-121271.14285714286
1751.7,-121276.14285714286
1753.7,-121270.57142857142
1755.7,-121226.99999999999
1757.7,-121164.71428571428
1759.7,-121124.85714285713
1761.7,-121123.71428571429
1763.7,-121140.14285714284
1765.7,-121143.42857142857
1767.7,-121128.42857142858
1769.7,-121128.42857142857
1771.7,-121178.71428571428
1773.7,-121264.14285714284
1775.7,-121329.14285714286
1777.7,-121351.99999999997
1779.7,-121371.14285714284
1781.7,-121424.2857142857
1783.7,-121494.14285714286
1785.7,-121535.14285714286
1787.7,-121531.57142857142
1789.7,-121511.71428571428
1791.7,-121512.85714285713
1793.7,-121542.28571428571
1795.7,-121570.57142857142
1797.7,-121567.71428571428
1799.6,-121546.28571428571
1801.6,-121553.28571428571
1803.6,-121614.0
1805.6,-121696.71428571429
1807.6,-121749.28571428571
1809.6,-121761.57142857142
1811.6,-121769.42857142857
1813.6,-121797.14285714284
1815.6,-121819.99999999999
1817.6,-121798.42857142857
1819.6,-121735.71428571429
1821.6,-121677.14285714284
1823.6,-121655.2857142857
1825.6,-121659.5714285714
1827.6,-121659.14285714284
1829.6,-121644.0
1831.6,-121634.99999999999
1833.6,-121657.28571428571
1835.6,-121709.14285714284
1837.6,-121761.71428571429
1839.6,-121789.14285714287
1841.6,-121792.28571428571
1843.6,-121784.99999999999
1845.6,-121764.85714285713
1847.6,-121697.42857142855
1849.6,-121532.85714285713
1851.6,-121253.14285714284
1853.6,-120898.71428571426
1855.6,-120525.57142857142
1857.6,-120146.0
1859.6,-119745.42857142857
1861.6,-119350.71428571429
1863.6,-119045.14285714286
1865.6,-118909.71428571429
